dataset_pos,name_raw,name_clean,item_text,type,response_min,response_max,response_labels,units,reverse,scale,factor,citation
34,q7_10,rights1_pre, I believe in listening to people who are different from me to try and understand them.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
35,q7_11,tech3_pre, 5G communications technology poses significant risks to health.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antitech,,
36,q7_12,cam2_pre, Complementary and alternative medicines support the body's natural ability to heal.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_cam,,
37,q7_13,rights2_pre, Asylum protection is an important right for all.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
38,q7_14,diet3_pre, People should avoid consuming Genetically Modified Organisms (GMOs).,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,gmo_organic,,
39,q7_15,cam3_pre, Complementary and alternative medicines are ineffective for real health complaints.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,pro_cam,,
40,q7_16,vax3_pre, Giving a child multiple vaccinations for different diseases at the same time can overload the immune system.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antivax,,
41,q7_17,rights3_pre," All people deserve free and equal treatment regardless of gender identity, race, sexual orientation.",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
42,q7_18,cc3_pre, Global warming is unrelated to human activities.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
43,q8_first_click,vignette_int_first,Timing - First Click,double,,,,,,,,
44,q8_last_click,vignette_int_last,Timing - Last Click,double,,,,,,,,
45,q8_page_submit,vignette_int_submit,Timing - Page Submit,double,,,,,,,,
46,q8_click_count,vignette_int_count,Timing - Click Count,integer,,,,,,,,
47,q11,training_int_freeman,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
48,q16,training_int_sekerak,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
49,q21,training_int_uber,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
50,q26,training_int_vegan,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
51,q31,training_int_gluten,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
52,q36,training_int_meteor,Do you think this is trustworthy enough to share?,integer,1,2,"1=yes, 2=no",,,,,
53,q41_first_click,vignette_control_first,Timing - First Click,double,,,,,,,,
54,q41_last_click,vignette_control_last,Timing - Last Click,double,,,,,,,,
55,q41_page_submit,vignette_control_submit,Timing - Page Submit,double,,,,,,,,
56,q41_click_count,vignette_control_count,Timing - Click Count,integer,,,,,,,,
57,q44,training_control_uber,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
58,q49,training_control_vegans,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
59,q54,training_control_banksy,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
60,q59,training_control_ageism,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
61,q64,training_control_legalage,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
62,q69,training_control_freeman,Do you think this is safe to share?,integer,1,2,"1=yes, 2=no",,,,,
63,q75_first_click,cam_exp_first,Timing - First Click,double,,,,,,,,
64,q75_last_click,cam_exp_last,Timing - Last Click,double,,,,,,,,
65,q75_page_submit,cam_exp_submit,Timing - Page Submit,double,,,,,,,,
66,q75_click_count,cam_exp_count,Timing - Click Count,integer,,,,,,,,
67,q77_first_click,cc_exp_first,Timing - First Click,double,,,,,,,,
68,q77_last_click,cc_exp_last,Timing - Last Click,double,,,,,,,,
69,q77_page_submit,cc_exp_submit,Timing - Page Submit,double,,,,,,,,
70,q77_click_count,cc_exp_count,Timing - Click Count,integer,,,,,,,,
71,q79_first_click,vax_exp_first,Timing - First Click,double,,,,,,,,
72,q79_last_click,vax_exp_last,Timing - Last Click,double,,,,,,,,
73,q79_page_submit,vax_exp_submit,Timing - Page Submit,double,,,,,,,,
74,q79_click_count,vax_exp_count,Timing - Click Count,integer,,,,,,,,
75,q80,qual_review,"What did you see in the twitter feed presented?
Would you have any concerns about sharing any of the posts you saw?",character,,,,,,,,
76,q81_1,vax1_post,Vaccination is one of the most effective ways to prevent diseases.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,antivax,,
77,q81_2,tech1_post,"Children these days are exposed to a harmful amount of ""screen time"".",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antitech,,
78,q81_3,diet1_post,Fruit and vegetables produced according to Organic standards are healthier and more nutritious.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,gmo_organic,,
79,q81_4,tech2_post,Social media platforms like Twitter and Facebook are a force for good.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,antitech,,
80,q81_5,vax2_post,"Diseases had already begun to disappear before vaccines were introduced, because of better hygiene and sanitation.",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antivax,,
81,q81_6,diet2_post,I believe more people should adopt a vegan diet.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,gmo_organic,,
82,q81_7,cc1_post,I feel comfortable with future generations inheriting the climate as we're leaving it.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
83,q81_8,cc2_post,Climate change is a real and concerning issue facing humanity.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
84,q81_9,cam1_post,Complementary and alternative medicines are a safer alternative to conventional medicine.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_cam,,
85,q81_10,rights1_post,I believe in listening to people who are different from me to try and understand them.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
86,q81_11,tech3_post,5G communications technology poses significant risks to health.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antitech,,
87,q81_12,cam2_post,Complementary and alternative medicines support the body's natural ability to heal.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_cam,,
88,q81_13,rights2_post,Asylum protection is an important right for all.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
89,q81_14,diet3_post,People should avoid consuming Genetically Modified Organisms (GMOs).,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,gmo_organic,,
90,q81_15,cam3_post,Complementary and alternative medicines are ineffective for real health complaints.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,pro_cam,,
91,q81_16,vax3_post,Giving a child multiple vaccinations for different diseases at the same time can overload the immune system.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antivax,,
92,q81_17,rights3_post,"All people deserve free and equal treatment regardless of gender identity, race, sexual orientation.",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_rights,,
93,q81_18,cc3_post,Global warming is unrelated to human activities.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
94,q86,feedback_int,"If you have any feedback on this study, please feel free to provide it below.",character,,,,,,,,
95,q87_first_click,debrief_int_first,Timing - First Click,double,,,,,,,,
96,q87_last_click,debrief_int_last,Timing - Last Click,double,,,,,,,,
97,q87_page_submit,debrief_int_submit,Timing - Page Submit,double,,,,,,,,
98,q87_click_count,debrief_int_count,Timing - Click Count,integer,,,,,,,,
99,q92,feedback_control,"If you have any feedback on this study, please feel free to provide it below.",character,,,,,,,,
100,q93_first_click,debrief_control_first,Timing - First Click,double,,,,,,,,
101,q93_last_click,debrief_control_last,Timing - Last Click,double,,,,,,,,
102,q93_page_submit,debrief_control_submit,Timing - Page Submit,double,,,,,,,,
103,q93_click_count,debrief_control_count,Timing - Click Count,integer,,,,,,,,
104,condition,condition,Condition,character,,,control/intervention,,,,,
105,exposure,exposure,exposure,character,,,vax/climate/cam,,,,,
